,AAPL,ABBV,ABT,ADBE,AMD,AMGN,AMZN,AVGO,BAC,BRK-B,CMCSA,COST,CRM,CSCO,CVX,GOOGL,HD,HON,INTC,INTU,JPM,KO,LIN,LLY,LOW,MA,MCD,META,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,QCOM,RTX,SPY,TMO,TXN,UNH,UNP,UPS,V,WMT,XOM
2011-01-31,0.25,,-0.25,,,,,,,,,,,-0.25,,,,,,,,,,,,-0.25,,,,,,,0.25,,0.25,,,,,,,,,,,,,,-0.25,,0.25
2011-02-28,,,-0.3333333333333333,,,-0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,-0.3333333333333333,,,,,,0.3333333333333333,,,,,,0.3333333333333333,,,,,,,,,,0.3333333333333333
2011-03-31,-0.3333333333333333,,,,,,,,,,,0.3333333333333333,,,,-0.3333333333333333,,,-0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,
2011-05-31,,,,,,,,,,,,,,-0.3333333333333333,,,,,-0.3333333333333333,0.3333333333333333,,0.3333333333333333,,,,,0.3333333333333333,,,,,,,,-0.3333333333333333,,,,,,,,,,,,,,,,
2011-06-30,,,,-0.3333333333333333,,,,,-0.3333333333333333,,,0.3333333333333333,,,,,,,,,,0.3333333333333333,,,,,0.3333333333333333,,,,,,,,-0.3333333333333333,,,,,,,,,,,,,,,,
2011-08-31,,,,,,,,,-0.3333333333333333,,,0.3333333333333333,,-0.3333333333333333,,,,,,,,0.3333333333333333,,,,,,,-0.3333333333333333,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,
2011-09-30,,,,,,,,,-0.3333333333333333,,0.3333333333333333,,,-0.3333333333333333,,,,,,,,0.3333333333333333,,,,,0.3333333333333333,,-0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,
2011-10-31,,,,,,,,,-0.3333333333333333,,,0.3333333333333333,,-0.3333333333333333,,,,,,,,0.3333333333333333,,,,,,,-0.3333333333333333,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,
2011-11-30,,,0.3333333333333333,,,,-0.3333333333333333,,-0.3333333333333333,,,0.3333333333333333,,,,-0.3333333333333333,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-31,-0.25,,0.25,,,,,,,,,,0.25,-0.25,,-0.25,,,,,,,,,,,,,,,-0.25,,0.25,,,,,,,0.25,,,,,,,,,,,
2012-02-29,-0.25,,0.25,,,,,,,,,,,-0.25,,-0.25,,,,,,,,0.25,,,,,,,,,0.25,,,,,,,,,,,0.25,,,,,-0.25,,
